category,question,gold_answer,acceptable_urls,distractor_urls,format,topics,partner_doc,lang,year,doc_type_raw,text_len,page_title,note
tuition,,,https://www.unitn.it/it/studiare/tasse-borse-alloggi/tasse/cittadini-non-europei/lauree-lingua-inglese,,html,tuition,,it,2025,tuition,1524,Importo delle tasse per i corsi di laurea in lingua inglese | UniTrento,
tuition,,,https://www.unitn.it/it/studiare/tasse-borse-alloggi/tasse/tasse-scuole-di-specializzazione,,html,tuition,,it,2026,tuition,949,Tasse per scuole di specializzazione | UniTrento,
tuition,,,https://www.unitn.it/en/study/fees-scholarships-accommodation/tuition-fees/non-eu-citizens/undergraduate-and-law-degrees-italian,,html,tuition,,en,2025,tuition,4232,Tuition fees for undergraduate and Law degrees in Italian | UniTrento,
tuition,,,https://www.unitn.it/en/study/fees-scholarships-accommodation/tuition-fees/tuition-fee-payment-instalments,,html,tuition,,en,2026,tuition,1207,Tuition fee payment instalments | UniTrento,
scholarship,,,https://borse.unitn.it/system/files/allegati/add/Bando%20borsa%20QAID%2016_CISSC.pdf,,pdf,scholarship,,en,2016,pdf,31474,Bando borsa QAID 16_CISSC.pdf,
scholarship,,,https://iecs.unitn.it/alfresco/download/workspace/SpacesStore/b2a2a5bf-3140-45d2-a864-40b8c3133228/Additional%20scholarship_%20NRRP_38_II.pdf,,pdf,scholarship,,en,2022,pdf,3202,Additional scholarship_ NRRP_38_II.pdf,
scholarship,,,https://borse.unitn.it/system/files/allegati/889/D-ELIWELL-DISI%20Industry-Scholarship-Program-L2%20%281%29%20%281%29.pdf,,pdf,scholarship,,en,2025,pdf,1312,D-ELIWELL-DISI Industry-Scholarship-Program-L2 %281%29 %281%29.pdf,
scholarship,,,https://borse.unitn.it/borse/dipartimento-dicam-dipartimento-di-ingegneria-civile-ambientale-e-meccanica-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita,,html,scholarship,,it,2026,scholarship,1236,"Dipartimento DICAM - Dipartimento di Ingegneria Civile, Ambientale e Meccanica - Avviso di",
scholarship,,,https://borse.unitn.it/borse/dipartimento-cibio-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-laurea-decreto-n-7142026,,html,scholarship,,it,2026,scholarship,1049,Dipartimento CIBIO - Avviso di selezione per il conferimento di n. 1 borsa di studio per a,
scholarship,,,https://borse.unitn.it/borse/dipartimento-di-ingegneria-civile-ambientale-e-meccanica-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-34,,html,scholarship,,it,2026,scholarship,1093,"Dipartimento di Ingegneria Civile, Ambientale e Meccanica - Avviso di selezione per il con",
scholarship,,,https://borse.unitn.it/borse/dipartimento-di-ingegneria-civile-ambientale-e-meccanica-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-20,,html,scholarship,,it,2026,scholarship,951,"Dipartimento di Ingegneria Civile, Ambientale e Meccanica - Avviso di selezione per il con",
scholarship,,,https://www.economia.unitn.it/premi/premio-di-laurea-memoria-di-luigi-giuriato-laureati-e-laureate-dei-corsi-di-laurea-magistrale-delluniversita-degli-studi-di-trento,,html,scholarship,,it,2026,scholarship,850,Import singola borsa | Dipartimento di Economia e Management,
course,,,https://corsi.unitn.it/sites/cds/files/2026-07/regolamento-didattico-tecniche-laboratorio-biomedico-26-27.pdf,,pdf,course,,it,2026,pdf,67805,regolamento-didattico-tecniche-laboratorio-biomedico-26-27.pdf,
course,,,https://corsi.unitn.it/sites/cds/files/2026-07/regolamento-didattico-laurea-gestione-aziendale-2026.pdf,,pdf,course,,it,2026,pdf,119385,regolamento-didattico-laurea-gestione-aziendale-2026.pdf,
course,,,https://corsi.unitn.it/sites/cds/files/2025-09/regolamento-didattico-lm-materials-engineering-2025.pdf,,pdf,course,,it,2025,pdf,49002,regolamento-didattico-lm-materials-engineering-2025.pdf,
course,,,https://corsi.unitn.it/it/management/il-corso/scheda-del-corso,,html,course,,it,2026,course,3050,Scheda del corso | Management | UniTrento,
course,,,https://corsi.unitn.it/it/metodologia-organizzazione-e-valutazione-dei-servizi-sociali/il-corso/scheda-del-corso,,html,course,,it,2026,course,3725,"Scheda del corso | Metodologia, organizzazione e valutazione dei servizi sociali | UniTren",
course,,,https://corsi.unitn.it/it/ingegneria-edile-architettura/il-corso/scheda-del-corso,,html,course,,it,2026,course,7052,Scheda del corso | Ingegneria Edile | Architettura | UniTrento,
course,,,https://corsi.unitn.it/en/environmental-meteorology-and-climate-physics/study/study-plan-submission,,html,course,,en,2026,course,3623,Study plan submission | Sito Corsi | UniTrento,
course,,,https://corsi.unitn.it/it/bioengineering-personalized-medicine/il-corso/scheda-del-corso,,html,course,,it,2026,course,4722,Scheda del corso | Bioengineering for Personalized Medicine | UniTrento,
graduation,,,https://corsi.unitn.it/sites/cds/files/2024-11/final-exam-regulations-master-cognitive-science-2021.pdf,,pdf,graduation,,en,2024,pdf,9207,final-exam-regulations-master-cognitive-science-2021.pdf,
graduation,,,https://www.sis.unitn.it/alfresco/download/workspace/SpacesStore/4c29255b-30fe-475e-a925-5b30fe375e6a/Revisione_Decreto_MEIS_Commissioni_laurea_e_proclamazione_appello%2021%20maggio%202026.pdf,,pdf,graduation,,it,2021,pdf,3970,Revisione_Decreto_MEIS_Commissioni_laurea_e_proclamazione_appello 21 maggio 2026.pdf,
graduation,,,https://corsi.unitn.it/sites/cds/files/2026-01/final-exam-regulation-meis-2025-en.pdf,,pdf,graduation,,en,2026,pdf,11270,final-exam-regulation-meis-2025-en.pdf,
graduation,,,https://corsi.unitn.it/it/fisica-magistrale/laurearsi/esame-di-laurea,,html,graduation,,it,2026,course,1638,Esame di laurea | Fisica - laurea magistrale | UniTrento,
graduation,,,https://corsi.unitn.it/it/psicologia/laurearsi/esame-di-laurea-non-abilitante,,html,graduation,,it,2022,course,1911,Esame di laurea ordinamento non abilitante | Psicologia | UniTrento,
graduation,,,https://corsi.unitn.it/en/cellular-and-molecular-biotechnology/graduation/graduation-calendar,,html,graduation,,en,2026,course,2639,Graduation calendar and deadlines | Sito Corsi | UniTrento,
graduation,,,https://corsi.unitn.it/it/metodologia-organizzazione-e-valutazione-dei-servizi-sociali/laurearsi/esame-di-laurea,,html,graduation,,it,2026,course,3038,"Esame di laurea | Metodologia, organizzazione e valutazione dei servizi sociali | UniTrent",
graduation,,,https://corsi.unitn.it/en/quantitative-and-computational-biology/graduation/graduation-calendar,,html,graduation,,en,2026,course,2649,Graduation calendar and deadlines | Sito Corsi | UniTrento,
mobility,,,https://www.unitn.it/sites/default/files/2025-07/timeline-erasmus-short-term_study.pdf,,pdf,mobility,,en,2025,pdf,1032,timeline-erasmus-short-term_study.pdf,
mobility,,,https://www.physics.unitn.it/alfresco/download/workspace/SpacesStore/77e833b5-ebe6-4466-a833-b5ebe6746660/Graduatoria%20ERASMUS%2026-27_Fisica.pdf,,pdf,"admissions,mobility",,it,2026,pdf,2167,Graduatoria ERASMUS 26-27_Fisica.pdf,
mobility,,,https://phd.unitn.it/dricam/186/international-mobility-office-science-and-technology-area,,html,mobility,,en,2026,phd,930,International Mobility Office - Science and Technology Area | DRICAM,
mobility,,,https://www.unitn.it/it/internazionale/andare-allestero/docenza-e-formazione/erasmus-personale-docente,,html,mobility,,it,2026,page,5570,Erasmus+ per il personale docente e ricercatore | UniTrento,
mobility,,,https://www.unitn.it/it/internazionale/andare-allestero/requisito-linguistico,,html,mobility,,it,2027,page,6078,Requisiti linguistici per i programmi di mobilità internazionale | UniTrento,
mobility,,,https://www.unitn.it/en/international/going-abroad/study/erasmus-short-term-study,,html,mobility,,en,2026,page,6141,Erasmus+ for short-term study | UniTrento,
internship,,,https://corsi.unitn.it/sites/cds/files/2024-12/attestato-avvio-tirocinio-interno-lm-matematica.pdf,,pdf,internship,,it,2024,pdf,3010,attestato-avvio-tirocinio-interno-lm-matematica.pdf,
internship,,,https://corsi.unitn.it/sites/cds/files/2026-02/docenti-disponibili-tirocinio-interno-lm-psicologia-25-26.pdf,,pdf,internship,,it,2026,pdf,8501,docenti-disponibili-tirocinio-interno-lm-psicologia-25-26.pdf,
internship,,,https://corsi.unitn.it/it/sociologia/studiare/stage-e-tirocini,,html,internship,,it,2026,course,6102,Stage e tirocini | Sociologia | UniTrento,
internship,,,https://www.economia.unitn.it/node/1844,,html,internship,,it,2026,page,1007,Internships | Dipartimento di Economia e Management,
internship,,,https://corsi.unitn.it/en/agrifood-innovation-management/study/internship,,html,internship,,en,2026,course,4889,Internship | Sito Corsi | UniTrento,
internship,,,https://www.unitn.it/it/internazionale/venire-unitrento/venire-unitrento-un-tirocinio/un-tirocinio-docenti,,html,internship,,it,2026,page,6219,Per un tirocinio se sei un docente | UniTrento,
housing,,,https://collegioclesio.unitn.it/sites/collegioclesio.unitn.it/files/downloads/36/Regolamento_Alloggi_Clesio.pdf,,pdf,housing,,it,2026,pdf,14056,Regolamento_Alloggi_Clesio.pdf,
housing,,,https://www.unitn.it/it/internazionale/venire-unitrento/quello-che-devi-sapere/alloggi,,html,housing,,it,2026,housing,2876,Alloggi per studenti e studentesse internazionali | UniTrento,
housing,,,https://webapps.unitn.it/Apply/it/Web/Home/sedis,,html,housing,,it,2016,admissions,2349,Bandi Opera Universitaria,
housing,,,https://www.unitn.it/en/about-us/equity-diversity-inclusion/disability-specific-learning-disorders-and-special-needs/student-community/disabilita/accommodation-students,,html,housing,,en,2026,housing,2359,Accommodation for students with disabilities | UniTrento,
housing,,,https://webapps.unitn.it/Apply/en/Web/Home/sedis,,html,housing,,en,2016,admissions,2252,Bandi Opera Universitaria,
services,,,https://www.unitn.it/sites/default/files/2024-12/Carta_servizi_Biblioteche_UniTrento.pdf,,pdf,services,,it,2024,pdf,17565,Carta_servizi_Biblioteche_UniTrento.pdf,
services,,,https://www.unitn.it/sites/default/files/2024-12/Scheda%20di%20accessibilit%C3%A0%20Biblioteca%20Universitaria%20Centrale%20%28BUC%29.pdf,,pdf,services,,it,2024,pdf,1966,Scheda di accessibilit%C3%A0 Biblioteca Universitaria Centrale %28BUC%29.pdf,
services,,,https://www.cla.unitn.it/en/703/intensive-courses-enrolment-dates-for-personal-reasons,,html,"admissions,services",,en,2026,service,1904,Intensive courses - enrolment dates for personal reasons | Language Centre - CLA,
services,,,https://www.cla.unitn.it/en/707/extensive-courses-enrolment-dates-for-outgoing-international-exchange-students,,html,"admissions,services",,en,2026,service,1198,Extensive courses - enrolment dates for outgoing international exchange students | Languag,
services,,,https://www.cla.unitn.it/en/708/intensive-courses-enrolment-dates-for-outgoing-international-exchange-students,,html,"admissions,services",,en,2026,service,1698,Intensive courses - enrolment dates for outgoing international exchange students | Languag,
services,,,https://www.cla.unitn.it/en/807/faq,,html,services,,en,2026,service,10477,FAQ | Language Centre - CLA,
bilingual,,,https://www.unitn.it/it/internazionale/andare-allestero/studio/doppia-laurea/scienza-e-tecnologia/ufa-state-aviation-technical-university-usatu|https://www.unitn.it/en/international/going-abroad/study/double-degree/science-and-technology/ufa-state-aviation-technical-university-usatu,,html,,,it,2026,page,2952,Ufa State Aviation Technical University-USATU | UniTrento,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://corsi.unitn.it/it/ingegneria-civile-magistrale/laurearsi/esame-di-laurea|https://corsi.unitn.it/en/civil-engineering-master/graduation/final-exam,,html,graduation,,it,2026,course,898,Esame di laurea | Ingegneria Civile - magistrale | UniTrento,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://borse.unitn.it/borse/dipartimento-di-ingegneria-civile-ambientale-e-meccanica-avviso-di-selezione-il-1|https://borse.unitn.it/en/borse/department-civil-environmental-and-mechanical-engineering-call-selections-awarding-no-1-1,,html,scholarship,,it,2026,scholarship,1201,"Dipartimento di Ingegneria Civile, Ambientale e Meccanica - Avviso di selezione per il con",page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://www.unitn.it/it/internazionale/andare-allestero/studio/doppia-laurea/scienze-sociali-e-umanistiche/erasmus-university-rotterdam|https://www.unitn.it/en/international/going-abroad/study/double-degree/social-sciences-and-humanities/erasmus-university-rotterdam,,html,mobility,,it,2026,page,4462,Erasmus University Rotterdam | UniTrento,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://www.maths.unitn.it/elenco-premi|https://www.maths.unitn.it/en/elenco-premi,,html,,,it,2026,page,1472,Premi | Dipartimento di Matematica,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://www.unitn.it/it/studiare/servizi/agevolazioni-e-scontistiche/contributo-al-canone-di-locazione|https://www.unitn.it/en/study/services/student-benefits/housing-support-students,,html,,,it,2025,page,3636,Contributo al canone di locazione | UniTrento,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://borse.unitn.it/borse/dipartimento-di-ingegneria-industriale-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-0|https://borse.unitn.it/en/borse/department-industrial-engineering-call-selections-awarding-no-1-research-study-grant-recent-0,,html,scholarship,,it,2026,scholarship,1161,Dipartimento di Ingegneria Industriale - Avviso di selezione per il conferimento di n. 1 b,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://www.unitn.it/it/talete|https://www.unitn.it/en/study/register/altre-iscrizioni/talete-honours-programme,,html,,,it,2026,page,5949,Talete - Honours Programme | UniTrento,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://borse.unitn.it/borse/dipartimento-di-ingegneria-civile-ambientale-e-meccanica-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-30|https://borse.unitn.it/en/borse/department-civil-environmental-and-mechanical-engineering-call-selections-awarding-no-1-research-study-grant-recent-graduates-decree-no-2162026,,html,scholarship,,it,2026,scholarship,991,"Dipartimento di Ingegneria Civile, Ambientale e Meccanica - Avviso di selezione per il con",page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://www.unitn.it/it/internazionale/andare-allestero/studio/eciu-mobilita-breve|https://www.unitn.it/en/international/going-abroad/study/eciu-short-term-mobility,,html,,,it,2026,page,5546,ECIU - Mobilità breve | UniTrento,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
temporal,,,https://iecs.unitn.it/education/admission/past-calls/call-2014,https://iecs.unitn.it/education/admission/past-calls/call-2012,html,admissions,,en,2014,admissions,6060,Call for applications 2014 | Doctoral Program - Information Engineering and Computer Scien,an outdated sibling is in the index; the current one must win
temporal,,,https://corsi.unitn.it/sites/cds/files/2026-07/regolamento-didattico-lm-filosofia-linguaggi-modernita-2026.pdf,https://corsi.unitn.it/sites/cds/files/2025-10/regolamento-didattico-lm-filosofia-linguaggi-modernita-2025.pdf|https://corsi.unitn.it/sites/cds/files/2024-12/regolamento-didattico-lm-filosofia-linguaggi-modernita-2019.pdf,pdf,course,,it,2026,pdf,60035,regolamento-didattico-lm-filosofia-linguaggi-modernita-2026.pdf,an outdated sibling is in the index; the current one must win
temporal,,,https://corsi.unitn.it/sites/cds/files/2025-08/regolamento-didattico-lm-management-2025.pdf,https://corsi.unitn.it/sites/cds/files/2024-12/regolamento-didattico-lm-management-2024.pdf,pdf,course,,it,2025,pdf,62624,regolamento-didattico-lm-management-2025.pdf,an outdated sibling is in the index; the current one must win
temporal,,,https://www.disi.unitn.it/challenges/MediTech-Challenge-Chirurgia-Vascolare-2026,https://www.disi.unitn.it/challenges/MediTech-Challenge-Chirurgia-Vascolare-2024|https://www.disi.unitn.it/challenges/MediTech-Challenge-Chirurgia-Vascolare-2023,html,,,en,2026,page,1315,MediTech Challenge - Vascular Surgery 2026 - Call for Companies | Department of informatio,an outdated sibling is in the index; the current one must win
temporal,,,https://www.unitn.it/sites/default/files/2025-09/II_TRIMESTRE_2025.pdf,https://www.unitn.it/sites/default/files/2024-12/II_TRIMESTRE_2024.pdf,pdf,,,it,2025,pdf,817257,II_TRIMESTRE_2025.pdf,an outdated sibling is in the index; the current one must win
temporal,,,https://corsi.unitn.it/sites/cds/files/2025-08/regolamento-didattico-l-scienze-tecniche-psicologia-cognitiva-2025.pdf,https://corsi.unitn.it/sites/cds/files/2024-12/regolamento-didattico-l-scienze-tecniche-psicologia-cognitiva-2023.pdf,pdf,course,,it,2025,pdf,44494,regolamento-didattico-l-scienze-tecniche-psicologia-cognitiva-2025.pdf,an outdated sibling is in the index; the current one must win
temporal,,,https://iecs.unitn.it/education/admission/past-calls/call-2026-1,https://iecs.unitn.it/education/admission/past-calls/call-2025-1|https://iecs.unitn.it/education/admission/past-calls/call-2024-1|https://iecs.unitn.it/education/admission/past-calls/call-2023-1,html,admissions,,en,2026,admissions,8796,Call for application - 2026 - 1st call | Doctoral Program - Information Engineering and Co,an outdated sibling is in the index; the current one must win
temporal,,,https://corsi.unitn.it/sites/cds/files/2026-06/tabelle-lmcu-medicina-chirurgia-regolamento-2023.pdf,https://corsi.unitn.it/sites/cds/files/2025-02/tabelle-lmcu-medicina-chirurgia-regolamento-2022.pdf,pdf,,,it,2026,pdf,56471,tabelle-lmcu-medicina-chirurgia-regolamento-2023.pdf,an outdated sibling is in the index; the current one must win
temporal,,,https://www.unitn.it/sites/default/files/2026-04/FS003405202202026002.pdf,https://www.unitn.it/sites/default/files/2025-04/FS003405202202025002.pdf,pdf,,,it,2026,pdf,18803,FS003405202202026002.pdf,an outdated sibling is in the index; the current one must win
temporal,,,https://corsi.unitn.it/sites/cds/files/2026-07/regolamento-didattico-lm-international-management-2026.pdf,https://corsi.unitn.it/sites/cds/files/2025-08/regolamento-didattico-lm-international-management-2025.pdf,pdf,course,,it,2026,pdf,58398,regolamento-didattico-lm-international-management-2026.pdf,an outdated sibling is in the index; the current one must win
nearduplicate,,,https://master-m3.unitn.it/2026-high-performance-computing-for-multi-functional-metamaterials-and-metastructures/,https://master-m3.unitn.it/2025-high-performance-computing-for-multi-functional-metamaterials-and-metastructures/,html,,,en,2026,page,4595,High-Performance Computing for Multi-Functional Metamaterials and Metastructures (HPC) – M,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://corsi.unitn.it/sites/cds/files/2026-05/guidelines-internship-miss-2025_0.pdf,https://corsi.unitn.it/sites/cds/files/2025-02/guidelines-internship-miss-2024.pdf,pdf,internship,,en,2026,pdf,14035,guidelines-internship-miss-2025_0.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://corsi.unitn.it/sites/cds/files/2025-09/manifesto-lm-filologia-critica-letteraria-anno-1-25-26.pdf,https://corsi.unitn.it/sites/cds/files/2025-09/manifesto-lm-filologia-critica-letteraria-anno-2-25-26.pdf,pdf,,,it,2025,pdf,7508,manifesto-lm-filologia-critica-letteraria-anno-1-25-26.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://www.sociologia.unitn.it/alfresco/download/workspace/SpacesStore/dc3c36c4-1b7d-4d03-83f2-cb9d73615c78/2007_2008_syllabus_srs.pdf,https://www.sociologia.unitn.it/alfresco/download/workspace/SpacesStore/297668f4-0fa2-4139-8021-66df95287840/2006_2007_syllabus_srs.pdf,pdf,,,it,2026,pdf,140597,2007_2008_syllabus_srs.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://corsi.unitn.it/sites/cds/files/2026-04/scorrimento-20260416-ammissione-economia-e-management-ita-sessione1-2026-27.pdf,https://corsi.unitn.it/sites/cds/files/2026-04/scorrimento-20260429-ammissione-economia-e-management-ita-sessione1-2026-27.pdf,pdf,admissions,,it,2026,pdf,20773,scorrimento-20260416-ammissione-economia-e-management-ita-sessione1-2026-27.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://corsi.unitn.it/sites/cds/files/2025-08/piano-studio-economia-legislazione-impresa-reg2025-25-26.pdf,https://corsi.unitn.it/sites/cds/files/2025-08/piano-studio-economia-legislazione-impresa-reg2023-25-26.pdf,pdf,,,it,2025,pdf,2183,piano-studio-economia-legislazione-impresa-reg2025-25-26.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://www.disi.unitn.it/it/challenges/OGA_challenge_2026,https://www.disi.unitn.it/it/challenges/OGA_challenge|https://www.disi.unitn.it/it/challenges/OGA_challenge_2025|https://www.disi.unitn.it/it/challenges/OGA_challenge_2024,html,,,it,2026,page,1498,Organizzazione e Gestione Aziendale Challenge 2026 | Dipartimento di Ingegneria e Scienza ,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://www.cimec.unitn.it/110/grants,https://www.cimec.unitn.it/node/109,html,,,it,2026,page,26910,Grants | CIMEC - Centro Interdipartimentale Mente/Cervello,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://borse.unitn.it/borse/dipartimento-di-ingegneria-industriale-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-laurea-decreto-n-9,https://borse.unitn.it/borse/dipartimento-di-ingegneria-industriale-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-laurea-decreto-n-10,html,scholarship,,it,2026,scholarship,1225,Dipartimento di Ingegneria Industriale - Avviso di selezione per il conferimento di n. 1 b,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://webapps.unitn.it/form/it/Web/Application/summerschool/SHIFT_Summer_School,https://webapps.unitn.it/form/en/Web/Application/summerschool/SHIFT_Summer_School,html,,,en,2026,page,1630,NEXT GENERATION BIO-RESPONSIVE MATERIAL IN TERM,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
ocr,,,https://www.sociologia.unitn.it/alfresco/download/workspace/SpacesStore/ca06d0f0-e273-42c2-982c-1cf239519ee2/63%20-%20quad9.pdf,,pdf,,,,2026,pdf,94984,63 - quad9.pdf,"text exists ONLY because of OCR. Retrieval-completeness test: score whether the page is reachable, not whether a student would ask this."
ocr,,,https://www.unitn.it/sites/default/files/2025-08/2018_II_Ingegnere.pdf,,pdf,,,,2025,pdf,52748,2018_II_Ingegnere.pdf,"text exists ONLY because of OCR. Retrieval-completeness test: score whether the page is reachable, not whether a student would ask this."
ocr,,,https://www.sociologia.unitn.it/alfresco/download/workspace/SpacesStore/b99910c7-725e-4c8b-bf42-e3ca33d752bb/59%20-%20quad14.pdf,,pdf,,,,2026,pdf,152377,59 - quad14.pdf,"text exists ONLY because of OCR. Retrieval-completeness test: score whether the page is reachable, not whether a student would ask this."
ocr,,,https://www.centro3a.unitn.it/alfresco/download/workspace/SpacesStore/9c17f239-218a-44d9-9d49-6f9309669185/regolamento%20missioni_Engl.pdf,,pdf,,,,2026,pdf,85577,regolamento missioni_Engl.pdf,"text exists ONLY because of OCR. Retrieval-completeness test: score whether the page is reachable, not whether a student would ask this."
ocr,,,https://www.unitn.it/sites/default/files/2025-08/Tracce%20prove%20I%20sessione%202025_Esame%20di%20stato%20INGEGNERE.pdf,,pdf,,,,2025,pdf,68466,Tracce prove I sessione 2025_Esame di stato INGEGNERE.pdf,"text exists ONLY because of OCR. Retrieval-completeness test: score whether the page is reachable, not whether a student would ask this."
trap,,,https://borse.unitn.it/system/files/allegati/839/Graduatoria_borsa_Hyperscanning.pdf,,pdf,admissions,,it,2025,pdf,955,Graduatoria_borsa_Hyperscanning.pdf,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://www.physics.unitn.it/alfresco/download/workspace/SpacesStore/37d39b1f-2ee8-48a6-a2f1-34c3f7ab3ae1/TIFPA%20Proposte%20Tirocinio-Ricrca%20Tesi%20Laurea%20Triennale.pdf,,pdf,internship,,it,2026,pdf,2556,TIFPA Proposte Tirocinio-Ricrca Tesi Laurea Triennale.pdf,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://borse.unitn.it/system/files/allegati/798/Decreto%20n%C2%B0%20186%20del%2011.06.2025%20Bando%20borsa%20post%20laurea%20borsa.pdf,,pdf,scholarship,,en,2011,pdf,31796,Decreto n%C2%B0 186 del 11.06.2025 Bando borsa post laurea borsa.pdf,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://www.disi.unitn.it/assegni-di-tutorato/disi-department-information-engineering-and-computer-science-call-selection-grant-tutoring-activity-aa-202526-decree-nr-092026,,html,,,en,2026,page,1382,Import singolo assegno | Department of information engineering and computer science,term collides with a different concept; a confident wrong answer is the risk
