category,question,gold_answer,acceptable_urls,distractor_urls,format,topics,lang,year,doc_type_raw,text_len,page_title,note
course,,,https://www.cla.unitn.it/en/815/departments-of-physics-and-mathematics-courses-in-computer-science-ice-and-cibio,,html,"admissions,course,services",en,2026,service,1301,"Departments of Physics and Mathematics, courses in Computer Science, ICE and CIBIO | Langu",
course,,,https://corsi.unitn.it/en/energy-engineering/study/program-guide-and-documents,,html,course,en,2026,course,1046,Program guide and documents | Sito Corsi | UniTrento,
course,,,https://www.cla.unitn.it/1597/cibio-dipartimento-di-biologia-cellulare-computazionale-e-integrata,,html,"admissions,course,services",it,2026,service,3299,"CIBIO - Dipartimento di Biologia Cellulare, Computazionale e Integrata | Centro Linguistic",
course,,,https://corsi.unitn.it/it/economia-e-management/studiare/presentare-il-piano-di-studio,,html,"admissions,course,internship",it,2026,course,3294,Presentare il piano di studio | Economia e management | UniTrento,
graduation,,,https://corsi.unitn.it/sites/cds/files/2024-11/final-exam-regulations-master-cognitive-science-2021.pdf,,pdf,graduation,en,2024,pdf,9207,final-exam-regulations-master-cognitive-science-2021.pdf,
graduation,,,https://corsi.unitn.it/sites/cds/files/2024-11/indicazioni-tipografiche-tesi-lauree-magistrali-dem.pdf,,pdf,graduation,it,2024,pdf,1564,indicazioni-tipografiche-tesi-lauree-magistrali-dem.pdf,
graduation,,,https://www.unitn.it/sites/default/files/2024-10/DL_TUM_Vademecum_Thesis.pdf,,pdf,"course,graduation",it,2024,pdf,1859,DL_TUM_Vademecum_Thesis.pdf,
graduation,,,https://www.lettere.unitn.it/1769/esame-finale,,html,"admissions,graduation",it,2026,page,2416,Esame finale | Dipartimento di Lettere e Filosofia,
graduation,,,https://www.economia.unitn.it/premi/premio-di-laurea-memoria-di-luigi-giuriato-laureati-e-laureate-dei-corsi-di-laurea-magistrale-delluniversita-degli-studi-di-trento,,html,"scholarship,graduation",it,2026,scholarship,850,Import singola borsa | Dipartimento di Economia e Management,
graduation,,,https://www.sociologia.unitn.it/archivio-seminari-di-credito-2012-2013,,html,graduation,it,2012,page,2066,Archivio - Seminari di credito 2012 - 2013 | Dipartimento di Sociologia e Ricerca Sociale,
graduation,,,https://www.unitn.it/en/about-us/about-us/university-numbers/ranking/censis-ranking-teaching,,html,"graduation,mobility",en,2026,page,2385,CENSIS ranking - Teaching | UniTrento,
graduation,,,https://corsi.unitn.it/it/lingue-moderne-nel-turismo-e-nella-cooperazione-internazionale/il-corso/contatti-e-referenti,,html,"admissions,graduation,mobility,internship",it,2026,course,1775,Contatti e referenti | Lingue moderne nel turismo e nella cooperazione internazionale | Un,
mobility,,,https://www.cibio.unitn.it/alfresco/download/workspace/SpacesStore/c49fc29c-cb8a-4dc7-9fc2-9ccb8addc751/Graduatoria_ER%2026-27_CIBIO_Allegato%204_con%20ID.pdf,,pdf,mobility,it,2026,pdf,1745,Graduatoria_ER 26-27_CIBIO_Allegato 4_con ID.pdf,
mobility,,,http://disi.unitn.it/~picco/papers/icse00fose.pdf,,pdf,mobility,en,2007,pdf,87090,icse00fose.pdf,
mobility,,,https://www.cismed.unitn.it/lavora-con-noi/pta-e-cel/concorsi,,html,"admissions,mobility",it,2026,page,805,Concorsi | CISMed - Centro Interdipartimentale di Scienze Mediche,
mobility,,,https://www.physics.unitn.it/work-with-us/collaborations,,html,"admissions,mobility",it,2026,page,1687,Collaborations | Dipartimento di Fisica,
mobility,,,https://www.cimec.unitn.it/en/lavora-con-noi/pta-e-cel/mobilita-esterna,,html,"scholarship,mobility,internship",en,2026,page,7335,Mobilità esterna | CIMEC - Centre for Mind/Brain sciences,
mobility,,,https://www.economia.unitn.it/en/3152/masters,,html,"admissions,scholarship,mobility",en,2026,page,6781,Masters | Department of Economics and Management,
internship,,,https://www.lettere.unitn.it/alfresco/download/workspace/SpacesStore/610b8f84-8f80-4bf1-b8cc-4b18df55b14b/08%20somm_triennali.pdf,,pdf,"mobility,internship,services",it,2026,pdf,1205,08 somm_triennali.pdf,
internship,,,https://formazioneinsegnanti.unitn.it/alfresco/download/workspace/SpacesStore/ead2647f-3dd2-494b-9264-7f3dd2494b4b,,pdf,internship,it,2026,pdf,7450,ead2647f-3dd2-494b-9264-7f3dd2494b4b,
internship,,,https://corsi.unitn.it/it/studi-internazionali/studiare/stage-e-tirocini,,html,internship,it,2026,course,5517,Stage e tirocini | Studi internazionali | UniTrento,
internship,,,https://www.lettere.unitn.it/lavora-con-noi/pta-e-cel,,html,"tuition,scholarship,housing,internship,services",it,2026,page,6179,Bandi personale tecnico amministrativo e collaboratore esperto | Dipartimento di Lettere e,
internship,,,https://phd.unitn.it/drbs/40/bodies,,html,internship,en,2026,phd,4816,Bodies | DRBS,
internship,,,https://corsi.unitn.it/it/scienze-storiche/il-corso/contatti-e-referenti,,html,"admissions,mobility,internship",it,2026,course,1833,Contatti e referenti | Scienze storiche | UniTrento,
housing,,,https://www.sociologia.unitn.it/alfresco/download/workspace/SpacesStore/13232334-ba41-4038-a7f3-0907d0e8b540/2003_2004_guida_soc.pdf,,pdf,"housing,course",it,2026,pdf,721937,2003_2004_guida_soc.pdf,
housing,,,https://www.unitn.it/sites/default/files/2024-11/Delibera_PAT_nomina_Valaguzza.pdf,,pdf,housing,it,2024,pdf,12975,Delibera_PAT_nomina_Valaguzza.pdf,
housing,,,https://www.unitn.it/en/study/fees-scholarships-accommodation/tuition-fees/fees-specialization-schools,,html,"tuition,scholarship,housing",en,2026,tuition,958,Fees for specialization schools | UniTrento,
housing,,,https://webapps.unitn.it/Apply/it/Web/Home/sedis,,html,housing,it,2016,admissions,2349,Bandi Opera Universitaria,
housing,,,https://www.unitn.it/en/about-us/equity-diversity-inclusion/disability-specific-learning-disorders-and-special-needs/student-community/disabilita/accommodation-students,,html,"admissions,housing",en,2026,housing,2359,Accommodation for students with disabilities | UniTrento,
services,,,https://www.cla.unitn.it/alfresco/download/workspace/SpacesStore/891898aa-c579-479a-9898-aac579379adc/CLA_Courses_French_Syllabus.pdf,,pdf,services,en,2026,pdf,37258,CLA_Courses_French_Syllabus.pdf,
services,,,https://corsi.unitn.it/sites/cds/files/2025-05/Matematica%20-%20mathematics%20LM-40.pdf,,pdf,"course,services",it,2025,pdf,12727,Matematica - mathematics LM-40.pdf,
services,,,https://www.cla.unitn.it/581/guida-alliscrizione-ai-corsi,,html,"admissions,course,services",it,2026,service,9361,Guida all'iscrizione ai corsi | Centro Linguistico di Ateneo - CLA,
services,,,https://www.cla.unitn.it/1565/studiare-e-prepararsi,,html,services,it,2026,service,1143,Studiare e prepararsi | Centro Linguistico di Ateneo - CLA,
services,,,https://www.cla.unitn.it/582/faq,,html,services,it,2026,service,10662,FAQ | Centro Linguistico di Ateneo - CLA,
services,,,https://www.cogsci.unitn.it/node/1316,,html,"scholarship,services",it,2026,page,6295,Academic positions | Dipartimento di Psicologia e Scienze Cognitive,
bilingual,,,https://www.unitn.it/it/studiare/tasse-borse-alloggi/tasse/cittadini-non-europei/lauree-magistrali-italiano|https://www.unitn.it/en/study/fees-scholarships-accommodation/tuition-fees/non-eu-citizens/masters-degrees-italian,,html,"admissions,tuition,scholarship,housing",it,2025,tuition,1310,Importo delle tasse per le lauree magistrali in lingua italiana | UniTrento,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://www.unitn.it/it/ateneo/regolamenti-manuali-e-informative/regolamenti/regolamento-didattico-di-ateneo/dottorati-di-ricerca|https://www.unitn.it/en/about-us/regolamenti-manuali-e-informative/regolamenti/regolamento-didattico-di-ateneo/doctoral-programmes,,html,"scholarship,course",it,2026,page,7390,Regolamenti dottorati di ricerca | UniTrento,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://www.unitn.it/it/internazionale/andare-allestero/studio/doppia-laurea/scienze-sociali-e-umanistiche/universite-de-strasbourg|https://www.unitn.it/en/international/going-abroad/study/double-degree-and-double-title/social-sciences-and-humanities/universite-de-strasbourg,,html,,it,2026,page,2359,Université de Strasbourg | UniTrento,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://www.economia.unitn.it/servizi|https://www.economia.unitn.it/en/services,,html,"admissions,scholarship,mobility,services",it,2026,page,7422,Servizi | Dipartimento di Economia e Management,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://www.unitn.it/it/internazionale/andare-allestero/studio/doppia-laurea/scienza-e-tecnologia/eberhard-karls-universitat-tubingen|https://www.unitn.it/en/international/going-abroad/study/double-degree/science-and-technology/eberhard-karls-universitat-tubingen,,html,course,it,2026,page,4092,Eberhard Karls Universität Tübingen | UniTrento,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://corsi.unitn.it/it/fisica-magistrale/studiare/lezioni-programmi-esami|https://corsi.unitn.it/en/physics-master/study/lessons-syllabus-exams,,html,course,it,2026,course,2483,"Lezioni, programmi, esami | Fisica - laurea magistrale | UniTrento",page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://www.unitn.it/it/ateneo/equita-diversita-e-inclusione/ascolto-e-welfare/diversity-management|https://www.unitn.it/en/about-us/equity-diversity-inclusion/support-and-well-being/diversity-management,,html,,it,2026,page,1113,Diversity management | UniTrento,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://www.unitn.it/it/internazionale/andare-allestero/studio/doppia-laurea/scienze-sociali-e-umanistiche/universita-di-jaen|https://www.unitn.it/en/international/going-abroad/study/double-degree/social-sciences-and-humanities/universita-di-jaen,,html,,it,2026,page,2366,Università di Jaén | UniTrento,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://borse.unitn.it/borse?page=20|https://borse.unitn.it/en/scolarships?page=20,,html,scholarship,it,2026,scholarship,1642,Altre borse | Borse Premi UniTrento,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
bilingual,,,https://corsi.unitn.it/it/global-and-local-studies/studiare/competenze-linguistiche|https://corsi.unitn.it/en/global-and-local-studies/study/language-proficiency,,html,,it,2026,course,2911,Competenze linguistiche | Global and Local Studies | UniTrento,page exists in IT and EN; ask in BOTH languages. Both URLs count as a hit - doc_group dedup returns only one of them.
temporal,,,https://master-m3.unitn.it/2027-admission/,https://master-m3.unitn.it/2026-admission/|https://master-m3.unitn.it/2025-admission/,html,admissions,en,2027,page,2364,Admission 2027 – MASTER-M3,an outdated sibling is in the index; the current one must win
temporal,,,https://corsi.unitn.it/sites/cds/files/2026-07/regolamento-didattico-l-ingegneria-informatica-comunicazioni-elettronica-2026.pdf,https://corsi.unitn.it/sites/cds/files/2025-12/regolamento-didattico-l-ingegneria-informatica-comunicazioni-elettronica-2025.pdf|https://corsi.unitn.it/sites/cds/files/2024-12/regolamento-didattico-l-ingegneria-informatica-comunicazioni-elettronica-2022.pdf,pdf,"admissions,course",it,2026,pdf,123728,regolamento-didattico-l-ingegneria-informatica-comunicazioni-elettronica-2026.pdf,an outdated sibling is in the index; the current one must win
temporal,,,https://iecs.unitn.it/education/admission/past-calls/call-2014,https://iecs.unitn.it/education/admission/past-calls/call-2012,html,admissions,en,2014,admissions,6060,Call for applications 2014 | Doctoral Program - Information Engineering and Computer Scien,an outdated sibling is in the index; the current one must win
temporal,,,https://corsi.unitn.it/sites/cds/files/2025-09/regolamento-didattico-l-ingegneria-ambiente-territorio-2025.pdf,https://corsi.unitn.it/sites/cds/files/2024-12/regolamento-didattico-l-ingegneria-ambiente-territorio-2020.pdf,pdf,"admissions,course",it,2025,pdf,51561,regolamento-didattico-l-ingegneria-ambiente-territorio-2025.pdf,an outdated sibling is in the index; the current one must win
temporal,,,https://corsi.unitn.it/sites/cds/files/2025-08/regolamento-didattico-lm-management-2025.pdf,https://corsi.unitn.it/sites/cds/files/2024-12/regolamento-didattico-lm-management-2024.pdf,pdf,"admissions,course",it,2025,pdf,62624,regolamento-didattico-lm-management-2025.pdf,an outdated sibling is in the index; the current one must win
temporal,,,https://www.disi.unitn.it/challenges/MediTech-Challenge-Chirurgia-Vascolare-2026,https://www.disi.unitn.it/challenges/MediTech-Challenge-Chirurgia-Vascolare-2024|https://www.disi.unitn.it/challenges/MediTech-Challenge-Chirurgia-Vascolare-2023,html,,en,2026,page,1315,MediTech Challenge - Vascular Surgery 2026 - Call for Companies | Department of informatio,an outdated sibling is in the index; the current one must win
temporal,,,https://www.unitn.it/sites/default/files/2025-09/II_TRIMESTRE_2025.pdf,https://www.unitn.it/sites/default/files/2024-12/II_TRIMESTRE_2024.pdf,pdf,tuition,it,2025,pdf,817257,II_TRIMESTRE_2025.pdf,an outdated sibling is in the index; the current one must win
temporal,,,https://corsi.unitn.it/sites/cds/files/2025-08/regolamento-didattico-lm-biotecnologie-cellulari-molecolari-2025.pdf,https://corsi.unitn.it/sites/cds/files/2024-12/regolamento-didattico-lm-biotecnologie-cellulari-molecolari-2021.pdf,pdf,"admissions,course",it,2025,pdf,36076,regolamento-didattico-lm-biotecnologie-cellulari-molecolari-2025.pdf,an outdated sibling is in the index; the current one must win
temporal,,,https://iecs.unitn.it/education/admission/past-calls/call-2026-1,https://iecs.unitn.it/education/admission/past-calls/call-2025-1|https://iecs.unitn.it/education/admission/past-calls/call-2024-1|https://iecs.unitn.it/education/admission/past-calls/call-2023-1,html,admissions,en,2026,admissions,8796,Call for application - 2026 - 1st call | Doctoral Program - Information Engineering and Co,an outdated sibling is in the index; the current one must win
temporal,,,https://corsi.unitn.it/sites/cds/files/2026-06/tabelle-lmcu-medicina-chirurgia-regolamento-2023.pdf,https://corsi.unitn.it/sites/cds/files/2025-02/tabelle-lmcu-medicina-chirurgia-regolamento-2022.pdf,pdf,course,it,2026,pdf,56471,tabelle-lmcu-medicina-chirurgia-regolamento-2023.pdf,an outdated sibling is in the index; the current one must win
nearduplicate,,,https://www.sociologia.unitn.it/alfresco/download/workspace/SpacesStore/26fa3a8e-bdba-4e6d-9d09-86e10f9f6c00/LONER_R%20Data%20Management%202022.pdf,https://www.sociologia.unitn.it/alfresco/download/workspace/SpacesStore/7d7cad27-82da-4fd7-8e03-a3f181020229/LONER_R%20Data%20Management.pdf,pdf,,it,2026,pdf,2683,LONER_R Data Management 2022.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,http://disi.unitn.it/locigno/teaching-duties/reti/01_Introduction.pdf,http://disi.unitn.it/locigno/teaching-duties/reti/aa17-18/01_Introduction.pdf|http://disi.unitn.it/locigno/teaching-duties/reti/aa16-17/01_Introduction.pdf,pdf,,it,2018,pdf,18044,01_Introduction.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://www.unitn.it/sites/default/files/2024-12/Elanorazione_dati_e_grafici_I-II_trimestre_2024.pdf,https://www.unitn.it/sites/default/files/2024-12/Elanorazione_dati_e_grafici_I-II_trimestre_2023.pdf|https://www.unitn.it/sites/default/files/2024-12/Elanorazione_dati_e_grafici_I-II_trimestre_2022.pdf,pdf,,it,2024,pdf,2987,Elanorazione_dati_e_grafici_I-II_trimestre_2024.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://corsi.unitn.it/sites/cds/files/2025-08/Mediazione%20linguistica%2C%20turismo%20e%20culture%20LM-49.pdf,https://corsi.unitn.it/sites/cds/files/2025-05/Mediazione%20linguistica%2C%20turismo%20e%20culture%20LM-49.pdf,pdf,course,it,2025,pdf,14102,Mediazione linguistica%2C turismo e culture LM-49.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://www.unitn.it/sites/default/files/2025-08/Conto_annuale_2023_unitrento.pdf,https://www.unitn.it/sites/default/files/2024-11/Conto_annuale_2022_unitrento.pdf|https://www.unitn.it/sites/default/files/2024-11/Conto_annuale_2021_unitrento.pdf|https://www.unitn.it/sites/default/files/2024-11/Conto_annuale_2020_unitrento.pdf,pdf,,it,2025,pdf,88278,Conto_annuale_2023_unitrento.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://corsi.unitn.it/sites/cds/files/2026-07/manifesto-l-ingegneria-civile-26-27-ord-2025-reg-2025_0.pdf,https://corsi.unitn.it/sites/cds/files/2026-07/manifesto-l-ingegneria-civile-26-27-ord-2025-reg-2026.pdf,pdf,,it,2026,pdf,6706,manifesto-l-ingegneria-civile-26-27-ord-2025-reg-2025_0.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://corsi.unitn.it/sites/cds/files/2025-08/Letterature%20euroamericane%2C%20traduzione%20e%20critica%20letteraria%20LM-37.pdf,https://corsi.unitn.it/sites/cds/files/2025-05/Letterature%20euroamericane%2C%20traduzione%20e%20critica%20letteraria%20LM-37.pdf,pdf,course,it,2025,pdf,14152,Letterature euroamericane%2C traduzione e critica letteraria LM-37.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://corsi.unitn.it/sites/cds/files/2025-05/Innovation%20management%20-%20management%20dell%27innovazione%20LM-77.pdf,https://corsi.unitn.it/sites/cds/files/2025-05/Innovation%20management%20-%20management%20dell%20innovazione%20LM-77.pdf,pdf,course,it,2025,pdf,12989,Innovation management - management dell%27innovazione LM-77.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://www.unitn.it/sites/default/files/2024-12/Aggiornamento%20elenco%20degli%20acquisti%20di%20beni%20e%20servizi%20di%20importo%20unitario%20stimato%20pari%20o%20superiore%20a%201.000.000%20euro-biennio_2019-20.pdf,https://www.unitn.it/sites/default/files/2024-12/Aggiornamento%20elenco%20degli%20acquisti%20di%20beni%20e%20servizi%20di%20importo%20unitario%20stimato%20pari%20o%20superiore%20a%201.000.000%20euro-biennio_2018-19.pdf,pdf,,it,2024,pdf,4935,Aggiornamento elenco degli acquisti di beni e servizi di importo unitario stimato pari o s,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://www.unitn.it/sites/default/files/2026-01/Costo_personale_non_a_tempo_indeterminato-anno_2025.pdf,https://www.unitn.it/sites/default/files/2025-01/Costo%20personale%20non%20a%20tempo%20indeterminato%20anno%202024%20.pdf,pdf,,it,2026,pdf,1256,Costo_personale_non_a_tempo_indeterminato-anno_2025.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
trap,,,https://www.sociologia.unitn.it/assegni-di-tutorato,,html,"scholarship,services",it,2026,page,6536,Import singolo assegno | Dipartimento di Sociologia e Ricerca Sociale,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://www.disi.unitn.it/it/phd-ai,,html,,it,2026,page,10693,Dottorato Nazionale in Intelligenza Artificiale | Dipartimento di Ingegneria e Scienza del,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://borse.unitn.it/borse/bando-di-concorso-lassegnazione-di-una-borsa-studentiesse-iscrittie-al-ii-o-iii-anno-del-cdl-triennale-amministrazione-aziendale-e-diritto-del,,html,scholarship,it,2026,scholarship,1231,Bando di concorso per l'assegnazione di una borsa per studenti/esse iscritti/e al II o III,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://www.physics.unitn.it/premi/bando-di-selezione-lassegnazione-di-n-2-premi-laureatilaureate-di-corsi-di-laurea-magistralemagistrale-ciclo-unico-presso-luniversita-di-trento,,html,,it,2026,scholarship,1915,Import singola borsa | Dipartimento di Fisica,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://corsi.unitn.it/sites/cds/files/2026-05/ranking-non-eu-citizens-master-physic-26-27.pdf,,pdf,"admissions,scholarship",en,2026,pdf,4624,ranking-non-eu-citizens-master-physic-26-27.pdf,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://borse.unitn.it/borse/dipartimento-di-ingegneria-civile-ambientale-e-meccanica-avviso-di-selezione-il-4,,html,scholarship,it,2026,scholarship,1194,"Dipartimento di Ingegneria Civile, Ambientale e Meccanica - Avviso di selezione per il con",term collides with a different concept; a confident wrong answer is the risk
trap,,,https://master-m3.unitn.it/2025-opening-day/,,html,,en,2025,page,851,Opening Day 2025 – MASTER-M3,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://borse.unitn.it/borse/dipartimento-cibio-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-8,,html,scholarship,it,2026,scholarship,1187,Dipartimento CIBIO - Avviso di selezione per il conferimento di n. 1 borsa di studio per a,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://borse.unitn.it/borse/dipartimento-cibio-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-laurea-decreto-n-7142026,,html,scholarship,it,2026,scholarship,1049,Dipartimento CIBIO - Avviso di selezione per il conferimento di n. 1 borsa di studio per a,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://www.unitn.it/sites/default/files/2024-11/Regolamento%20corso%20dottorato%20SAA_ita.pdf,,pdf,,it,2024,pdf,24345,Regolamento corso dottorato SAA_ita.pdf,term collides with a different concept; a confident wrong answer is the risk
