category,question,gold_answer,acceptable_urls,lang,year,doc_type,text_len,page_title,note
tuition,,,https://www.unitn.it/en/study/fees-scholarships-accommodation/tuition-fees/how-pay-your-fees,en,2026,tuition,1960,How to pay your fees | UniTrento,fees/exemptions/refunds/instalments - highest-frequency student topic
tuition,,,https://www.unitn.it/en/study/fees-scholarships-accommodation/tuition-fees/non-eu-citizens/degree-programmes-english,en,2025,tuition,1633,Tuition fees for degree programmes in English | UniTrento,fees/exemptions/refunds/instalments - highest-frequency student topic
tuition,,,https://www.unitn.it/en/study/fees-scholarships-accommodation/tuition-fees/fees-specialization-schools,en,2026,tuition,958,Fees for specialization schools | UniTrento,fees/exemptions/refunds/instalments - highest-frequency student topic
tuition,,,https://www.unitn.it/en/study/fees-scholarships-accommodation/scholarships-and-awards/phd-scholarships,en,2025,tuition,2840,PhD scholarships | UniTrento,fees/exemptions/refunds/instalments - highest-frequency student topic
tuition,,,https://www.unitn.it/it/studiare/tasse-borse-alloggi/tasse/cittadini-non-europei/lauree-italiano,it,2025,tuition,4401,Importo delle tasse per i corsi di laurea in lingua italiana | UniTrento,fees/exemptions/refunds/instalments - highest-frequency student topic
tuition,,,https://www.unitn.it/en/study/fees-scholarships-accommodation/scholarships-and-awards/scholarships-international-students,en,2026,tuition,3190,Scholarships for international students | UniTrento,fees/exemptions/refunds/instalments - highest-frequency student topic
tuition,,,https://www.unitn.it/en/study/fees-scholarships-accommodation/tuition-fees/eu-and-related-countries,en,2026,tuition,1528,Tuition fees for individuals with citizenship of EU and related countries | UniTrento,fees/exemptions/refunds/instalments - highest-frequency student topic
tuition,,,https://www.unitn.it/en/study/fees-scholarships-accommodation/tuition-fees/non-eu-citizens/masters-degrees-italian,en,2025,tuition,1151,Tuition fees for master's degrees in Italian | UniTrento,fees/exemptions/refunds/instalments - highest-frequency student topic
housing,,,https://www.unitn.it/it/studiare/servizi/alloggi,it,2026,housing,877,Alloggi | UniTrento,"accommodation and residences - small pool, high question frequency"
housing,,,https://www.unitn.it/it/internazionale/venire-unitrento/quello-che-devi-sapere/alloggi,it,2026,housing,2876,Alloggi per studenti e studentesse internazionali | UniTrento,"accommodation and residences - small pool, high question frequency"
housing,,,https://www.unitn.it/it/studiare/servizi/alloggi/trova-casa-online,it,2026,housing,802,Trova casa online | UniTrento,"accommodation and residences - small pool, high question frequency"
housing,,,https://www.unitn.it/it/ateneo/equita-diversita-e-inclusione/disabilita-dsa-e-altri-bisogni/la-comunita-studentesca/disabilita/alloggi-persone-con-disabilita,it,2026,housing,2760,Alloggi per persone con disabilità | UniTrento,"accommodation and residences - small pool, high question frequency"
housing,,,https://www.unitn.it/en/study/services/student-benefits/housing-support-students,en,2025,housing,3618,Housing support for students | UniTrento,"accommodation and residences - small pool, high question frequency"
service,,,https://www.cla.unitn.it/492/corsi-estensivi-cla-periodi,it,2026,service,2213,Corsi estensivi CLA - periodi | Centro Linguistico di Ateneo - CLA,"library, language centre, test centre, job guidance"
service,,,https://www.cla.unitn.it/503/corsi-blended-povo-periodi,it,2026,service,1636,Corsi blended Povo - periodi | Centro Linguistico di Ateneo - CLA,"library, language centre, test centre, job guidance"
service,,,https://www.cla.unitn.it/666/progetti,it,2025,service,2307,Progetti | Centro Linguistico di Ateneo - CLA,"library, language centre, test centre, job guidance"
service,,,https://www.cla.unitn.it/en/558/italian-extensive-courses-enrolment-dates-for-incoming-international-exchange-students,en,2026,service,2023,Italian extensive courses - enrolment dates for incoming international exchange students |,"library, language centre, test centre, job guidance"
service,,,https://www.cla.unitn.it/en/879/german,en,2026,service,2382,German | Language Centre - CLA,"library, language centre, test centre, job guidance"
service,,,https://www.cla.unitn.it/en/716/extensive-courses-enrolment-dates-for-people-from-outside-the-university,en,2026,service,1712,Extensive courses - enrolment dates for people from outside the University | Language Cent,"library, language centre, test centre, job guidance"
service,,,https://www.jobguidance.unitn.it/en/studenti-e-neolaureati/information-about-the-job-market,en,2026,service,1183,Information about the job market | JobGuidance,"library, language centre, test centre, job guidance"
service,,,https://www.cla.unitn.it/1629/dipartimento-di-matematica,it,2026,service,3109,Dipartimento di Matematica | Centro Linguistico di Ateneo - CLA,"library, language centre, test centre, job guidance"
phd,,,https://phd.unitn.it/drmmse/36/electronic-systems-and-integrated-microelectronic-systems,en,2026,phd,6578,Electronic Systems and Integrated Microelectronic Systems | drmmse,
phd,,,https://phd.unitn.it/drcimec/115/education,en,2026,phd,2006,Education | DRCIMeC,
phd,,,https://phd.unitn.it/drmmse/332/mazzalai-alessandro,en,2026,phd,847,Mazzalai Alessandro | drmmse,
phd,,,https://phd.unitn.it/drmmse/11/doctoral-programme,en,2026,phd,4276,Doctoral programme | drmmse,
phd,,,https://phd.unitn.it/drphys/24/passaggio-al-ii-e-iii-anno,it,2026,phd,1599,Passaggio al II e III anno | Drphys,
bilingual,,,https://webapps.unitn.it/Apply/it/Web/Home/modu|https://webapps.unitn.it/Apply/en/Web/Home/modu,it,2026,admissions,1185,Modulistica,page exists in IT and EN; ask in BOTH languages. Both URLs are acceptable - doc_group dedup returns only one.
bilingual,,,https://www.disi.unitn.it/it/bandi/pta-cell-concorsi|https://www.disi.unitn.it/bandi/pta-cell-concorsi,it,2026,page,1090,Concorsi | Dipartimento di Ingegneria e Scienza dell’Informazione,page exists in IT and EN; ask in BOTH languages. Both URLs are acceptable - doc_group dedup returns only one.
bilingual,,,https://www.cogsci.unitn.it/work-with-us/collaborations|https://www.cogsci.unitn.it/en/work-with-us/collaborations,it,2026,page,7188,Collaborations | Dipartimento di Psicologia e Scienze Cognitive,page exists in IT and EN; ask in BOTH languages. Both URLs are acceptable - doc_group dedup returns only one.
bilingual,,,https://www.openscience.unitn.it/novita-ateneo|https://www.openscience.unitn.it/en/novita-ateneo,it,2026,page,2342,Novità di Ateneo | Scienza Aperta UniTrento,page exists in IT and EN; ask in BOTH languages. Both URLs are acceptable - doc_group dedup returns only one.
bilingual,,,https://www.disi.unitn.it/it/iclus|https://www.disi.unitn.it/iclus,it,2026,page,18545,ICLUS - Italian Covid-19 Lung Ultrasound project | Dipartimento di Ingegneria e Scienza de,page exists in IT and EN; ask in BOTH languages. Both URLs are acceptable - doc_group dedup returns only one.
bilingual,,,https://www.sociologia.unitn.it/elenco-assegni-tutorato|https://www.sociologia.unitn.it/en/elenco-assegni-tutorato,it,2026,page,953,Assegni di tutorato | Dipartimento di Sociologia e Ricerca Sociale,page exists in IT and EN; ask in BOTH languages. Both URLs are acceptable - doc_group dedup returns only one.
bilingual,,,https://webapps.unitn.it/form/it/Web/Application/altro/2025_CRU_Isc_privacy_agg_freq|https://webapps.unitn.it/form/en/Web/Application/altro/2025_CRU_Isc_privacy_agg_freq,it,2025,page,899,CRU-Trento Iscrizione Privacy aggregati_2025,page exists in IT and EN; ask in BOTH languages. Both URLs are acceptable - doc_group dedup returns only one.
bilingual,,,https://webapps.unitn.it/Apply/it/Web/Home/imdott|https://webapps.unitn.it/Apply/en/Web/Home/imdott,it,2026,admissions,2552,Immatricolazione ai Corsi di Dottorato e iscrizione anni successivi,page exists in IT and EN; ask in BOTH languages. Both URLs are acceptable - doc_group dedup returns only one.
bilingual,,,https://www.disi.unitn.it/it/prospective-students/bachelor-courses|https://www.disi.unitn.it/prospective-students/bachelor-courses,it,2026,page,2096,Corsi di Laurea | Dipartimento di Ingegneria e Scienza dell’Informazione,page exists in IT and EN; ask in BOTH languages. Both URLs are acceptable - doc_group dedup returns only one.
bilingual,,,https://www.sociologia.unitn.it/elenco-premi|https://www.sociologia.unitn.it/en/elenco-premi,it,2026,page,1619,Premi | Dipartimento di Sociologia e Ricerca Sociale,page exists in IT and EN; ask in BOTH languages. Both URLs are acceptable - doc_group dedup returns only one.
temporal,,,https://corsi.unitn.it/sites/cds/files/2025-08/regolamento-didattico-l-studi-internazionali-2025.pdf,it,2025,pdf,33043,regolamento-didattico-l-studi-internazionali-2025.pdf,an outdated sibling exists in the index; the current one must win
temporal,,,https://corsi.unitn.it/sites/cds/files/2026-07/regolamento-didattico-lm-informatica-2026.pdf,it,2026,pdf,152933,regolamento-didattico-lm-informatica-2026.pdf,an outdated sibling exists in the index; the current one must win
temporal,,,https://master-m3.unitn.it/2027.flyer.pdf,en,2027,pdf,18078,2027.flyer.pdf,an outdated sibling exists in the index; the current one must win
temporal,,,https://www.unitn.it/sites/default/files/2026-05/Decreti_C3A_2025.pdf,it,2026,pdf,26642,Decreti_C3A_2025.pdf,an outdated sibling exists in the index; the current one must win
temporal,,,https://master-m3.unitn.it/2027-lab-of-multifunctional-materials/,en,2027,page,5723,Laboratory on Multifunctional Materials (LMM) – MASTER-M3,an outdated sibling exists in the index; the current one must win
temporal,,,https://corsi.unitn.it/sites/cds/files/2026-07/regolamento-didattico-lm-innovation-management-2026.pdf,it,2026,pdf,57226,regolamento-didattico-lm-innovation-management-2026.pdf,an outdated sibling exists in the index; the current one must win
temporal,,,https://iecs.unitn.it/education/admission/past-calls/call-2025-2,en,2025,admissions,8489,Call for application - 2025 - 2nd call | Doctoral Program - Information Engineering and Co,an outdated sibling exists in the index; the current one must win
temporal,,,https://corsi.unitn.it/sites/cds/files/2025-08/regolamento-didattico-lm-biotecnologie-cellulari-molecolari-2025.pdf,it,2025,pdf,36076,regolamento-didattico-lm-biotecnologie-cellulari-molecolari-2025.pdf,an outdated sibling exists in the index; the current one must win
temporal,,,https://corsi.unitn.it/sites/cds/files/2025-08/regolamento-didattico-lm-metodologia-valutazione-servizi-sociali-2025.pdf,it,2025,pdf,26937,regolamento-didattico-lm-metodologia-valutazione-servizi-sociali-2025.pdf,an outdated sibling exists in the index; the current one must win
temporal,,,https://www.disi.unitn.it/it/challenges/OGA_challenge_2026,it,2026,page,1498,Organizzazione e Gestione Aziendale Challenge 2026 | Dipartimento di Ingegneria e Scienza ,an outdated sibling exists in the index; the current one must win
nearduplicate,,,https://www.unitn.it/sites/default/files/2024-12/Servizi_erogati_risorse_e_volumi-consuntivo_situazione_al_31.10.21_e_previsione_2022.pdf,it,2024,pdf,65456,Servizi_erogati_risorse_e_volumi-consuntivo_situazione_al_31.10.21_e_previsione_2022.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://disi.unitn.it/rseba/DIDATTICA/fai_2025/SLIDES/13-QuantifyingUncertainty.pdf,en,2025,pdf,99649,13-QuantifyingUncertainty.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://www.lettere.unitn.it/alfresco/download/workspace/SpacesStore/cf045ac5-8a36-4590-8162-99c6565e45dc/04%20gen_triennali.pdf,it,2026,pdf,190071,04 gen_triennali.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://corsi.unitn.it/sites/cds/files/2026-07/ranking-europeans-call-1-master-env-meteorology-climate-physics-26-27.pdf,en,2026,pdf,2757,ranking-europeans-call-1-master-env-meteorology-climate-physics-26-27.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://corsi.unitn.it/sites/cds/files/2025-12/regolamento-didattico-lm-informatica-2025.pdf,it,2025,pdf,154299,regolamento-didattico-lm-informatica-2025.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,http://disi.unitn.it/locigno/didattica/AdNet/12-13/01-Intro-Reharsal_S.pdf,en,2016,pdf,39326,01-Intro-Reharsal_S.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://www.sociologia.unitn.it/alfresco/download/workspace/SpacesStore/9db3857b-5e3e-49e7-834f-ad94b5e92a40/Locandina%20Conducting%20Research%20on%20the%20Internet%20.pdf,en,2026,pdf,2743,Locandina Conducting Research on the Internet .pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://corsi.unitn.it/sites/cds/files/2025-10/SUA_06D1_VQD_0623H.pdf,it,2025,pdf,9138,SUA_06D1_VQD_0623H.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://master-m3.unitn.it/2025-additive-manufacturing-of-metasurfaces-and-metamaterials-technologies/,en,2025,page,4799,Additive Manufacturing of Metasurfaces and Metamaterials (Technologies) (AMT) – MASTER-M3,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
nearduplicate,,,https://www.jobguidance.unitn.it/alfresco/download/workspace/SpacesStore/f6cac7aa-b888-4f9f-8e07-9d4a687b006f/BANDO%20%20STAGE%20PRESSO%20IL%20TRIBUNALE%20ORDINARIO%20DI%20ROVERETO%202022.pdf,it,2026,pdf,6309,BANDO  STAGE PRESSO IL TRIBUNALE ORDINARIO DI ROVERETO 2022.pdf,"a near-identical sibling exists; tests whether the right version is cited, not just the right topic"
trap,,,https://www.disi.unitn.it/borse/department-information-engineering-and-computer-science-call-selections-awarding-no-1-research-study-grant-recent-graduates-decree-no1812026,en,2026,scholarship,1102,Import singola borsa | Department of information engineering and computer science,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://www.unitn.it/sites/default/files/2026-06/Bando-Master-M3-26_27.pdf,it,2026,pdf,16093,Bando-Master-M3-26_27.pdf,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://borse.unitn.it/borse/dipartimento-di-ingegneria-civile-ambientale-e-meccanica-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-9,it,2021,scholarship,975,"Dipartimento di Ingegneria Civile, Ambientale e Meccanica - Avviso di selezione per il con",term collides with a different concept; a confident wrong answer is the risk
trap,,,https://www.disi.unitn.it/assegni-di-tutorato/disi-department-information-engineering-and-computer-science-call-selection-grant-tutoring-activity-pbl-aa-202526-decree-nr,en,2026,page,1533,Import singolo assegno | Department of information engineering and computer science,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://www.sis.unitn.it/it/assegni-di-tutorato,it,2026,page,6300,Import singolo assegno | SSI - Scuola di Studi Internazionali,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://borse.unitn.it/borse/dipartimento-di-sociologia-e-ricerca-socialebando-di-selezione-il-conferimento-di-n-1-borsa-1,it,2026,scholarship,1002,Dipartimento di Sociologia e Ricerca Sociale_Bando di selezione per il conferimento di n. ,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://www.disi.unitn.it/assegni-di-tutorato/disi-department-information-engineering-and-computer-science-call-selection-grant-tutoring-activity-aa-202526-decree-nr-922026,en,2026,page,1417,Import singolo assegno | Department of information engineering and computer science,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://corsi.unitn.it/sites/cds/files/2025-12/admission-call-master-main-26-27.pdf,en,2025,pdf,23145,admission-call-master-main-26-27.pdf,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/6bb97c19-bb25-4833-b97c-19bb255833fd/Format_relazione_finale_riconoscimento%20attivit%20lavorativa_tirocinio%20LM.pdf,it,2026,pdf,4325,Format_relazione_finale_riconoscimento attivit lavorativa_tirocinio LM.pdf,term collides with a different concept; a confident wrong answer is the risk
trap,,,https://borse.unitn.it/system/files/allegati/881/RET%201369%20del%2003.12.2025%20%20-%20Approvazione%20graduatoria%20DEM%20-%20borsa%20Tita%20ed25.pdf,it,2025,pdf,2650,RET 1369 del 03.12.2025  - Approvazione graduatoria DEM - borsa Tita ed25.pdf,term collides with a different concept; a confident wrong answer is the risk
